fin_year,month,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Dec,TAMIL NADU,2932,TIRUPPUR,1853518,280.1639901,32,512,1220.515847,5898,0,4038,2249086,800308,61531,1385,210,184.97209,7706.617016,69611,71901,133036,157173,566,176603,227151,9936,6301.12908,1942071,42,39.55,79.34,100,0
2025-2026,Dec,TAMIL NADU,2933,CHENGALPATTU,2357454,304.7002434,26,2837,1643.587434,9212,0,6603,3513231,1491629,102288,77688,4325,272.99019,12621.40103,133336,138791,193809,236534,452,217807,276044,15815,10704.82341,3106782,56,36.05,68.22,100,0
2025-2026,Dec,TAMIL NADU,2934,RANIPET,2293123,285.0785886,25,1795,1322.975426,7030,0,4146,3326291,857393,55053,51416,2415,181.47292,10986.99178,130446,140437,159823,221367,144,185020,250717,11176,9482.543437,2996239,55,45.82,65.99,100.01,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,282.4787571,19,3554,4567.274069,11306,0,8609,4570429,1419439,160495,158605,21191,268.81182,17746.57692,230692,293875,298241,510885,136,318298,535384,19915,12910.49103,3443188,46,47.55,53.4,100,0
2025-2026,Dec,TAMIL NADU,2907,SALEM,2295126,277.6405501,17,2910,4553.063669,12085,0,6776,3275581,609409,80409,279307,30335,433.32541,14080.73019,183393,192826,342181,422655,82,436975,528826,18861,9094.341107,2915065,54,31.05,57.43,100,0
2025-2026,Dec,TAMIL NADU,2910,ERODE,1440211,294.4311101,24,1740,1482.881869,6809,0,4136,1772480,459761,45794,21339,2970,239.76185,6941.376259,72811,74834,140280,163261,158,191651,224094,10945,5218.73254,1488327,57,58.61,70.63,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,333.2367486,25,159,311.8505686,2993,0,2014,310397,98397,11887,44635,3993,103.82218,1450.029619,12245,13154,31760,40435,12,56290,68756,5007,1034.356871,246559,87,27.63,26.03,100,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,281.2128502,16,4655,2034.424738,8841,0,5284,3755373,788602,83642,41386,5129,306.33733,12901.35352,231023,245622,304512,378247,62,327087,407570,14125,10560.59145,3279460,46,54.63,69.74,100,0
2025-2026,Dec,TAMIL NADU,2918,PERAMBALUR,1535495,280.4320451,16,1167,885.9412004,2023,0,2292,1560690,456548,55480,7302,497,103.39304,5366.009125,92657,103797,123603,176135,32,143610,198999,4315,4376.674885,1316854,55,58.94,66.37,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,305.2966599,30,382,578.4773512,3376,1,1598,735798,60301,4168,10373,442,143.9587,2968.802769,23955,25243,39792,50050,37,77819,96517,4974,2246.366717,605545,69,60.31,59.49,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,273.9460899,24,2115,3418.923446,9370,0,6865,4068346,550766,38938,36679,2831,373.13005,14937.12829,168380,175628,256703,288065,133,297255,335420,16235,11145.07479,3720731,66,48.48,67.34,100,0
2025-2026,Dec,TAMIL NADU,2933,CHENGALPATTU,2357454,304.5599805,26,2836,1592.127458,9116,0,6631,3504613,1487079,103289,77454,4356,272.98519,12538.76132,133208,138656,195073,238702,452,219298,278459,15747,10673.64867,3099220,56,36.09,68.32,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,293.8170271,21,1471,1213.881577,5567,0,2977,1752124,506664,61082,441,74,181.66526,6543.585485,83377,91954,137462,186547,59,162336,215041,8544,5148.038648,1432888,59,30.48,63.87,100,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,280.8648475,19,3534,4289.108897,11272,0,8515,4455931,1386435,160446,156294,21180,268.77783,17073.03053,228361,290203,298130,510676,130,318245,535252,19787,12515.14381,3357441,46,47.15,52.76,100,0
2025-2026,Dec,TAMIL NADU,2902,TIRUVALLUR,4787937,242.3629414,28,2613,2954.698021,10721,0,12699,5912504,2119197,119271,200648,8932,421.42112,17705.83775,203925,209945,268312,315615,236,313794,381652,23420,14329.7186,5372919,50,40.08,69.77,100,0
2025-2026,Dec,TAMIL NADU,2904,VILLUPURAM,6017145,255.9838483,23,9706,3980.022604,13950,0,10087,8115629,2351161,177364,108972,6954,535.73546,25290.45749,348482,384574,430921,602394,330,462401,646730,24037,20774.69943,6677050,57,57.29,64.16,100,0
2025-2026,Dec,TAMIL NADU,2902,TIRUVALLUR,4787937,242.9254132,28,2608,2913.690581,10608,0,12804,5855336,2099898,119256,198379,8930,421.42112,17559.21088,203556,209545,268288,315580,236,313771,381625,23412,14224.09917,5320856,50,39.96,69.59,100,0
2025-2026,Dec,TAMIL NADU,2905,VELLORE,1301298,287.9393843,20,1194,1809.38986,8204,0,6142,1671248,467676,38331,43895,4677,194.7417,6816.312761,80841,84885,133865,157307,7,148326,188491,14346,4812.181201,1484082,69,22.71,51.68,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,315.2109299,25,152,1252.165031,5050,0,2941,827922,313526,29142,19349,1870,209.92733,4071.792996,32156,32724,75388,84393,39,110156,123314,7991,2609.700635,757874,53,67.51,68.47,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,277.8630743,25,3973,4137.672266,10255,0,9200,5536309,1145549,67294,8981,677,325.09089,19846.12155,216656,231044,274563,323607,99,304192,366198,19455,15383.35839,4901765,55,57.8,65.26,100,0
2025-2026,Dec,TAMIL NADU,2926,TIRUNELVELI,1374374,290.0507147,28,404,1653.788193,4096,0,3958,1442181,378320,34060,1592,140,182.0625,6018.906991,50230,51870,97385,114847,116,120881,140555,8054,4183.056297,1309810,44,41.6,62.16,100,0
2025-2026,Dec,TAMIL NADU,2934,RANIPET,2293123,283.876711,26,1806,1406.902951,7077,0,4194,3445304,886916,55076,52526,2421,181.47642,11368.79505,131159,141278,159934,221500,196,185081,250801,11271,9780.41568,3103523,55,45.96,66.65,100.01,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,286.1099835,23,2581,1432.595444,6167,0,5466,2595452,704805,63670,199649,20742,318.17596,9176.618693,109871,115613,182579,227831,129,221095,277121,11633,7425.84729,2311552,29,53.88,78.22,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,328.5581822,26,165,311.9655686,3094,0,2010,335611,104713,11900,50290,4027,103.88141,1518.524379,12805,13748,31839,40514,26,56287,68743,5104,1102.677401,267141,86,27.84,27.01,100,0
2025-2026,Dec,TAMIL NADU,2915,TIRUVARUR,1068294,294.9878762,12,904,1954.416185,8853,0,4623,924279,414232,141356,120,39,308.09564,4989.022817,71127,82815,177862,266354,19,196034,288140,13476,2726.510992,715727,50,33.42,31.69,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,276.6448051,25,3977,4380.769797,10293,0,9199,5613304,1161927,67105,9295,676,325.09089,20234.7746,217061,231521,274071,322566,106,303527,364944,19492,15528.91391,4970167,55,58.06,65.57,100,0
2025-2026,Dec,TAMIL NADU,2934,RANIPET,2293123,281.6243642,26,1810,1484.575765,7102,0,4203,3524672,907133,55092,53549,2429,181.47642,11592.38729,131480,141693,159977,221579,230,185146,250899,11305,9926.33511,3175597,54,45.99,66.96,100.01,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,292.3606493,21,1479,1511.00659,5732,0,3053,1799548,522733,61013,452,74,181.75839,6953.935198,83833,92517,137352,186280,72,162208,214752,8785,5261.170218,1469525,57,31.01,64.42,100,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,283.01797,20,3597,5380.036508,11456,0,8754,4749877,1473396,160566,167591,21239,271.15815,19094.20012,233055,297888,298377,511253,147,318432,535738,20210,13443.00546,3578131,46,48.35,54.38,100,0
2025-2026,Dec,TAMIL NADU,2910,ERODE,1440211,297.0896914,24,1749,1636.458729,6974,0,4201,1836878,476464,45390,22047,2935,239.83178,7333.465691,73495,75552,139402,162052,185,190757,222871,11175,5457.175182,1542445,56,59.42,71.54,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,314.0305493,25,153,1252.165031,5050,0,2945,831034,314446,29142,19826,1873,209.92733,4071.792996,32200,32770,75391,84397,39,110156,123315,7995,2609.700635,760792,53,67.59,68.55,100,0
2025-2026,Dec,TAMIL NADU,2914,NAGAPATTINAM,874856,295.9860081,14,478,1613.084706,6122,0,2872,946237,417352,81863,868,246,137.79633,4551.61016,63526,72554,107082,164340,38,119856,179509,8994,2800.729124,756746,72,37.99,40.22,100.01,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,280.0016619,16,4706,2272.250141,9046,0,5386,3907495,820661,83383,42913,5129,306.48583,13519.78691,232666,247688,304157,377659,71,326730,406959,14432,10941.05094,3411790,45,55.24,69.92,100,0
2025-2026,Dec,TAMIL NADU,2917,KARUR,1660652,298.1846267,27,1492,756.9437907,4940,0,3426,2200160,503979,36708,294,26,164.28282,7481.765493,81178,86404,124901,156236,147,143498,178731,8366,6560.538882,1928491,61,54.95,90.86,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,278.0502755,25,3974,4142.529884,10280,0,9203,5545560,1147902,67264,8981,676,325.09089,19887.06563,216700,231093,274483,323421,99,304109,366003,19483,15419.44486,4910005,55,57.85,65.3,100,0
2025-2026,Dec,TAMIL NADU,2921,THENI,856216,310.0725791,19,956,855.3628429,3694,0,2823,1058331,256080,25549,3767,207,135.98065,4272.93772,53381,57492,85974,104828,39,117094,139130,6517,3281.594227,887563,52,56.71,68.34,100,0
2025-2026,Dec,TAMIL NADU,2922,DINDIGUL,3371262,306.9201923,28,3942,4840.429575,14214,0,9118,5551451,1351498,83830,5087,392,548.08213,22427.03579,197971,211203,285016,345739,319,317232,380351,23332,17038.52408,4784090,69,59.83,80.7,100,0
2025-2026,Dec,TAMIL NADU,2924,VIRUDHUNAGAR,3646235,269.099264,26,3554,2382.007456,4246,0,5452,3949556,1107708,76531,1464,166,279.46014,13289.69373,148666,158560,218375,268310,254,249807,302573,9698,10628.22613,3406880,29,44.45,81.78,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,304.7300413,32,384,589.4422344,3493,1,1539,771301,62685,4169,11331,442,143.9587,3083.78679,24093,25385,39707,49921,38,77733,96385,5032,2350.385856,635216,68,61.3,60.5,100,0
2025-2026,Dec,TAMIL NADU,2931,ARIYALUR,1665829,284.2844708,16,1363,1622.456405,4975,0,3526,2368285,502202,55417,30480,2964,137.28864,8492.411525,143485,168150,178642,250829,162,190355,263802,8501,6732.66648,1909520,48,61.96,65.89,100,0
2025-2026,Dec,TAMIL NADU,2934,RANIPET,2293123,283.7267928,26,1806,1482.775127,7100,0,4191,3449203,887647,55082,52532,2428,181.47642,11450.5646,131176,141297,159940,221513,196,185116,250843,11291,9786.31305,3107189,54,45.94,66.68,100.01,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,282.9238534,20,3592,5363.338188,11369,0,8822,4713434,1461314,160547,167511,21236,268.81182,18967.57911,232824,297475,298352,511170,142,318364,535596,20191,13335.4291,3549396,46,48.19,54.21,100,0
2025-2026,Dec,TAMIL NADU,2910,ERODE,1440211,297.3764551,26,1763,2043.936454,7112,0,4333,1969824,508735,45101,23273,2929,352.50775,8254.236986,75010,77145,138867,161251,282,190160,221990,11445,5857.792783,1654907,55,60.32,72.57,100,0
2025-2026,Dec,TAMIL NADU,2927,THOOTHUKKUDI,2419391,268.0545762,28,1974,3090.908826,4473,0,6118,3215902,1049837,59458,1807,163,356.70975,12067.99105,114109,121037,152193,180595,151,173283,215403,10591,8620.372476,2849721,31,56.9,60.3,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,303.0359867,34,384,658.5294638,3609,1,1450,826265,67584,4162,11803,442,182.56007,3344.96983,24229,25526,39666,49860,53,77663,96292,5059,2503.880296,682075,68,63.13,62.37,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,294.0565709,21,1484,1818.394807,5939,0,3034,1824681,530646,61037,457,74,181.78197,7365.771156,84151,92913,137387,186358,81,162260,214845,8973,5365.594379,1488941,56,30.93,64.41,100,0
2025-2026,Dec,TAMIL NADU,2938,MAYILADUTHURAI,1125611,273.1512822,13,694,1653.975236,5244,0,5106,1271007,584582,102226,895,263,143.99792,5269.745074,93178,115690,150890,225768,15,159705,235675,10350,3471.771918,996159,63,49.97,49.69,100,0
2025-2026,Dec,TAMIL NADU,2909,DHARMAPURI,2810840,285.3001679,21,2050,2970.831526,8547,0,9234,3945912,533790,37981,135382,8486,369.82376,14598.34885,182201,192382,244316,279479,202,279035,316508,17781,11257.69356,3644387,58,70.54,76.37,100,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,281.9969353,17,4783,3386.563865,9260,0,5371,4203066,880046,83141,45656,5130,470.47241,15709.55358,235168,250826,303665,376689,113,325944,405685,14631,11852.51731,3669493,45,56.81,70.83,100,0
2025-2026,Dec,TAMIL NADU,2921,THENI,856216,309.3328123,20,974,937.4230768,3790,0,2798,1118726,269160,25574,3889,208,135.98065,4533.990325,54496,58763,86104,104996,55,117127,139188,6588,3460.586598,938262,52,57.98,69.3,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,302.0969926,34,384,658.5294638,3609,1,1450,826265,67584,4162,11803,442,166.63851,3321.28969,24229,25526,39666,49860,53,77663,96292,5059,2496.121716,682075,68,63.13,62.37,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,276.9430621,26,2202,5349.346149,9745,0,7206,4629235,624266,38964,43110,2837,516.20773,18685.89904,174833,182587,257014,288454,265,297504,335744,16951,12820.34516,4237080,65,50.65,69.82,100,0
2025-2026,Dec,TAMIL NADU,2933,CHENGALPATTU,2357454,304.111672,28,2909,2323.388424,9588,0,6480,3920653,1664861,99963,85246,4232,272.99019,14519.54201,136469,142335,190376,231275,595,213715,270088,16068,11923.16339,3468530,56,38.16,70.29,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,279.5139434,22,1090,1050.559106,7179,0,5484,2046444,379377,25923,47647,5256,171.22481,6941.88024,90235,95422,131245,152115,32,144151,167964,12663,5720.096324,1871344,67,39.28,68.5,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,294.0565709,21,1484,1756.879523,5880,0,3043,1824681,530646,61037,457,74,181.78197,7304.255872,84151,92913,137387,186357,81,162255,214838,8923,5365.594379,1488941,56,31.02,64.42,100,0
2025-2026,Dec,TAMIL NADU,2904,VILLUPURAM,6017145,256.6121371,23,9719,5294.979063,14579,0,9589,8188745,2370801,176863,110479,6944,535.92028,26844.21289,348875,385242,430283,601023,356,461780,645379,24168,21013.31355,6734776,57,57.28,64.28,100,0
2025-2026,Dec,TAMIL NADU,2909,DHARMAPURI,2810840,283.1355705,21,2047,2960.399426,8467,0,9302,3921727,529895,37981,134964,8486,369.82376,14434.0273,181954,192103,244318,279480,200,279034,316506,17769,11103.80411,3621867,58,70.44,76.26,100,0
2025-2026,Dec,TAMIL NADU,2917,KARUR,1660652,297.839902,28,1502,831.4456668,4991,0,3413,2365449,542941,36728,321,26,170.55981,8047.256459,82213,87614,124959,156325,190,143526,178782,8404,7045.250982,2072691,61,56.07,91.35,100,0
2025-2026,Dec,TAMIL NADU,2924,VIRUDHUNAGAR,3646235,265.6317904,27,3580,2604.307106,4516,0,5466,4197341,1176095,76571,1767,168,341.55222,14095.33138,150735,161043,218471,268419,323,249764,302530,9982,11149.47205,3619908,29,45.95,82.57,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,279.719647,22,1090,1050.559106,7173,0,5481,2030444,375907,25923,47641,5256,171.22481,6901.334706,90005,95167,131244,152114,32,144150,167963,12654,5679.55079,1856239,67,39.17,68.35,100,0
2025-2026,Dec,TAMIL NADU,2904,VILLUPURAM,6017145,257.1757313,23,9725,5584.038049,14580,0,9625,8217208,2378918,176813,110927,6940,535.92028,27252.6231,349113,385602,430227,600911,360,461715,645259,24205,21132.66477,6757055,57,57.32,64.36,100,0
2025-2026,Dec,TAMIL NADU,2909,DHARMAPURI,2810840,287.9733326,21,2058,3003.175664,8629,0,9175,3977504,540745,37986,136358,8486,369.82376,14827.15025,182581,192811,244340,279505,208,279040,316514,17804,11454.15082,3673256,58,70.69,76.5,100,0
2025-2026,Dec,TAMIL NADU,2932,TIRUPPUR,1853518,280.342585,34,519,1738.453536,6106,0,4016,2486238,886681,61567,1471,210,209.47709,8917.914504,71496,73919,133107,157271,858,176628,227193,10122,6969.983878,2151571,41,40.95,80.57,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,281.8650865,22,1090,1050.559106,7183,0,5506,2052608,380391,25925,47678,5256,171.22481,7007.36923,90280,95473,131258,152131,32,144154,167969,12689,5785.585314,1876743,67,39.39,68.57,100,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,284.9910482,21,3671,8027.843544,11716,0,8769,5101559,1575616,160660,186557,21326,271.15815,22837.98816,237719,305746,298681,511881,221,318542,536094,20485,14538.98647,3844269,46,49.8,56.25,100,0
2025-2026,Dec,TAMIL NADU,2903,CUDDALORE,5878235,264.9946002,21,5773,6535.317254,10144,0,13184,6981942,2514143,254646,40752,3559,546.15207,25583.23862,328817,393503,423071,684103,96,474321,746363,23328,18501.76929,5651556,50,63.96,69.64,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,331.2859136,26,168,359.2716929,3162,0,1986,346542,107668,11918,52761,4037,103.88141,1611.197934,12998,13967,31881,40571,32,56294,68753,5148,1148.044831,275948,87,27.94,27.38,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,276.3275359,26,4009,5763.626178,10424,0,9182,5832286,1206391,66624,9723,670,325.09089,22204.92926,218317,232946,272971,320542,126,301489,361897,19606,16116.21219,5165649,55,58.67,66.17,100,0
2025-2026,Dec,TAMIL NADU,2921,THENI,856216,307.57092,20,969,937.4230768,3770,0,2802,1101213,266296,25570,3888,208,135.98065,4460.414683,54105,58319,86067,104954,53,117121,139182,6572,3387.010956,923972,52,57.56,69,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,300.1501381,33,384,658.4394638,3588,1,1463,814940,67023,4162,11775,442,143.9587,3248.441699,24197,25494,39676,49875,52,77684,96318,5051,2446.043536,672581,68,62.8,62.03,100,0
2025-2026,Dec,TAMIL NADU,2933,CHENGALPATTU,2357454,304.11505,28,2907,2201.510006,9554,0,6503,3914953,1661931,99952,85247,4231,272.99019,14380.46147,136299,142151,190348,231241,594,213710,270079,16057,11905.96127,3463507,56,38.14,70.26,100,0
2025-2026,Jan,TAMIL NADU,2911,COIMBATORE,488981,314.3335248,28,157,1683.136134,5415,0,2694,941173,356516,29155,23253,1878,240.51816,4882.076559,33321,33924,75460,84468,63,110192,123351,8109,2958.422265,862484,53,70.04,71,100,0
2025-2026,Jan,TAMIL NADU,2917,KARUR,1828873,296.6768435,30,1529,847.0695568,5499,0,3014,2582841,593893,36768,345,26,256.73233,8766.493038,83504,89106,125062,156486,283,143594,178900,8513,7662.691152,2263341,60,57.51,91.68,100,0
2025-2026,Jan,TAMIL NADU,2919,PUDUKKOTTAI,5304987,264.2248191,28,1612,5047.488066,8854,0,9353,6643666,1178538,82474,6262,112,618.27999,23219.98253,232427,250227,295830,426996,206,335366,477801,18207,17554.21447,6001087,42,52.05,80.41,100,0
2025-2026,Jan,TAMIL NADU,2921,THENI,923513,306.5162877,21,992,937.4230768,4140,0,2639,1195610,285469,25508,4197,209,185.93384,4788.096305,55910,60370,86005,104829,63,116943,138918,6779,3664.739388,1002268,51,58.85,69.81,100,0
2025-2026,Jan,TAMIL NADU,2923,RAMANATHAPURAM,3179144,246.7750201,29,4129,3874.562039,10343,0,8117,4589484,1120381,63032,353,27,474.74244,15675.00454,156492,168124,199970,246794,181,224446,273666,18460,11325.70006,4045908,56,57.81,65.61,100,0
2025-2026,Jan,TAMIL NADU,2928,KANNIYAKUMARI,519524,301.1717691,36,389,667.6028499,3834,1,1275,882426,72638,4168,12649,442,205.73221,3530.953055,24376,25689,39672,49868,63,77645,96271,5109,2657.617995,729904,67,64.79,64.07,100,0
2025-2026,Jan,TAMIL NADU,2935,TIRUPATHUR,1559922,278.4281529,24,1132,1088.677919,8846,0,3928,2268276,418991,25946,51338,5259,250.89686,7655.093749,92970,98478,131405,152311,35,144247,168079,12774,6315.518969,2074147,66,40.91,69.75,100,0
2025-2026,Jan,TAMIL NADU,2904,VILLUPURAM,6731777,257.9952889,24,9758,6212.762377,15388,0,9124,8416618,2436789,175904,114090,6917,546.23585,28473.47615,350386,387757,429068,598590,398,460557,642946,24512,21714.47793,6919072,58,56.41,63.24,100,0
2025-2026,Jan,TAMIL NADU,2915,TIRUVARUR,1159878,286.1789887,13,1102,2632.282573,9151,0,4584,1201363,558704,139486,124,38,492.16231,6562.493367,86841,101751,176695,263212,20,194600,284647,13735,3438.048484,930016,50,37.84,36.27,100,0
2025-2026,Jan,TAMIL NADU,2925,SIVAGANGAI,3505768,272.1076686,33,2387,6897.472533,6245,0,9806,4907315,992501,45927,307,19,577.74566,20828.39863,145419,152551,187226,222700,190,203588,240680,16051,13353.18044,4476063,34,71.36,72.5,100,0
2025-2026,Jan,TAMIL NADU,2928,KANNIYAKUMARI,519524,301.1717691,36,389,667.6028499,3835,1,1277,882426,72638,4168,12649,442,205.73221,3530.953055,24376,25689,39671,49867,63,77644,96270,5112,2657.617995,729904,67,64.79,64.07,100,0
2025-2026,Jan,TAMIL NADU,2937,KALLAKURICHI,2594684,286.7112969,22,3737,8119.941955,12187,0,8610,5597222,1721651,160750,211621,21370,417.75981,24585.56955,243358,315690,299066,512488,317,318740,536444,20797,16047.86779,4223833,46,51.57,58.52,100,0
2025-2026,Jan,TAMIL NADU,2911,COIMBATORE,488981,312.7401247,28,157,1683.136134,5413,0,2696,938502,355353,29154,23262,1880,239.18822,4857.396679,33304,33907,75459,84468,63,110191,123351,8109,2935.072325,860026,53,70,70.95,100,0
2025-2026,Jan,TAMIL NADU,2912,THE NILGIRIS,351138,331.9511123,27,169,409.1050135,3241,0,1974,370735,113601,11914,58443,4059,150.82219,1790.58616,13317,14321,31918,40588,41,56267,68699,5215,1230.658956,295465,87,28.04,28.19,100,0
2025-2026,Jan,TAMIL NADU,2921,THENI,923513,308.2478804,21,989,937.4230768,4139,0,2635,1186430,284146,25508,4190,209,185.93384,4780.502244,55755,60190,85990,104810,63,116943,138918,6774,3657.145328,994722,51,58.66,69.64,100,0
2025-2026,Jan,TAMIL NADU,2926,TIRUNELVELI,1517202,290.6420868,30,411,2836.883829,4565,0,3665,1565417,406216,34054,1768,140,278.96675,7665.611215,51120,52805,97444,114908,251,120906,140584,8230,4549.760636,1421442,43,42.8,63.13,100,0
2025-2026,Jan,TAMIL NADU,2927,THOOTHUKKUDI,2650770,265.5294062,29,1997,3337.088763,4914,0,5921,3435405,1117538,59526,1904,163,389.54815,12848.64741,115247,122411,152332,180776,180,173382,215526,10835,9122.010496,3040030,30,58.17,61.56,100,0
2025-2026,Jan,TAMIL NADU,2930,KRISHNAGIRI,3808837,274.5395829,28,2270,5373.999355,9930,0,7205,5059449,682474,38978,48011,2836,516.20773,19780.39727,178906,186975,257159,288654,322,297651,335934,17135,13890.19018,4635262,64,51.75,71.16,100,0
2025-2026,Jan,TAMIL NADU,2932,TIRUPPUR,2071629,280.4499863,36,525,1744.234755,6430,0,3984,2692246,961833,61647,1627,212,282.03175,9576.670043,73140,75692,133247,157471,1171,176768,227410,10414,7550.403538,2333804,40,41.67,81.05,100,0
2025-2026,Jan,TAMIL NADU,2935,TIRUPATHUR,1559922,278.7229183,24,1126,1088.677919,8842,0,3932,2244292,412764,25938,51230,5259,250.89686,7594.930937,92758,98226,131386,152287,35,144236,168067,12774,6255.356157,2052606,66,40.63,69.59,100,0
2025-2026,Jan,TAMIL NADU,2904,VILLUPURAM,6731777,257.5838221,23,9748,6186.379507,15381,0,9127,8364652,2421279,176083,113367,6918,545.29005,28277.65988,349920,386935,429234,599126,423,460777,643556,24508,21545.99033,6877141,58,56.44,63.36,100,0
2025-2026,Jan,TAMIL NADU,2908,NAMAKKAL,1808462,286.2985004,26,2637,2056.104439,6849,0,4952,2932254,787873,63731,231138,20770,491.15676,10942.26043,112111,118191,182803,228118,220,221190,277249,11801,8394.999229,2611557,28,56.18,79.98,100,0
2025-2026,Jan,TAMIL NADU,2909,DHARMAPURI,3265437,288.0038392,23,2102,3037.803562,10833,0,7246,4360353,587454,38020,149925,8500,400.81082,15996.59842,186734,197389,244656,279922,246,279234,316791,18079,12557.98404,4027413,57,71.99,77.83,100,0
2025-2026,Jan,TAMIL NADU,2912,THE NILGIRIS,351138,332.5163908,27,169,409.1050135,3241,0,1974,369239,113286,11916,58104,4059,150.82219,1787.7074,13307,14309,31919,40590,41,56267,68699,5215,1227.780196,294259,87,28.05,28.17,100,0
2025-2026,Jan,TAMIL NADU,2913,THANJAVUR,2717375,249.1735711,24,3016,3262.256787,10371,0,7976,5159101,1524700,113318,3105,129,647.09424,16764.46722,208487,238730,268835,358302,378,294679,386996,18347,12855.1162,4419068,47,72.19,70.83,100,0
2025-2026,Jan,TAMIL NADU,2916,TIRUCHIRAPPALLI,2767248,279.1987929,19,4905,3399.177316,9755,0,5209,4565641,952090,82861,49073,5134,485.47061,16631.86249,238519,255113,303460,376016,128,325411,404653,14964,12747.21456,3987354,44,56.5,69.3,100,0
2025-2026,Jan,TAMIL NADU,2932,TIRUPPUR,2071629,278.8602443,36,525,1744.234755,6421,0,3988,2682399,959098,61647,1627,212,282.03175,9506.410909,73066,75606,133244,157466,1170,176766,227408,10409,7480.144405,2325597,40,41.51,81,100,0
2025-2026,Jan,TAMIL NADU,2937,KALLAKURICHI,2594684,286.3038349,22,3723,8119.941955,12183,0,8610,5499416,1695402,160735,205380,21353,366.52427,24231.50513,242339,313890,298969,512340,308,318711,536395,20793,15745.03891,4148433,46,51.25,58.12,100,0
2025-2026,Jan,TAMIL NADU,2907,SALEM,2495489,278.6467345,19,3010,6948.583638,12641,0,6694,3749006,692130,79913,317061,30130,594.6656,17989.73203,191933,202183,340824,420558,140,435594,526685,19335,10446.4828,3338200,53,31.69,58.36,100,0
2025-2026,Jan,TAMIL NADU,2911,COIMBATORE,488981,313.8086026,27,156,1604.192373,5405,0,2700,927131,351062,29152,22991,1880,239.18822,4752.797429,33186,33783,75453,84462,63,110191,123351,8105,2909.416835,849575,53,69.7,70.65,100,0
2025-2026,Jan,TAMIL NADU,2920,MADURAI,4468441,278.4385785,28,4055,6728.848122,11975,0,8141,6341398,1313112,64920,10510,645,477.80689,24863.55346,221116,236243,268290,313241,153,295054,352709,20116,17656.89845,5617021,53,59.39,67.14,100,0
